unitid,institution,cipcode,major_number,award_level_code,award_count_total,award_level_name,degree_group,cip2,cip2_title,cip6_title,is_cip6
110662,University of California-Los Angeles,5.0108,1,5,5,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0108,2,5,3,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.011,1,5,3,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.011,2,5,2,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0111,1,5,0,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0113,1,5,0,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0199,1,5,1,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0201,1,5,30,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0201,1,7,4,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0201,2,5,8,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0202,1,5,1,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0202,1,7,4,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0202,2,5,1,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0203,1,5,38,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0203,1,7,3,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0203,1,17,3,Doctoral (Research/Scholarship),Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0203,2,5,31,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0206,1,5,12,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0206,1,7,9,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0206,2,5,4,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0207,1,5,0,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0207,1,7,0,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0207,1,17,0,Doctoral (Research/Scholarship),Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.021,1,5,0,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.021,2,5,3,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0299,1,5,59,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0299,1,7,1,Masters,Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0299,1,17,2,Doctoral (Research/Scholarship),Graduate,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,5.0299,2,5,9,Bachelors,Bachelors,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,9.01,1,5,228,Bachelors,Bachelors,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,9.01,1,7,4,Masters,Graduate,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,9.01,2,5,38,Bachelors,Bachelors,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,11.0401,1,7,0,Masters,Graduate,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Information Science/Studies.,True
110662,University of California-Los Angeles,11.0401,1,17,2,Doctoral (Research/Scholarship),Graduate,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Information Science/Studies.,True
110662,University of California-Los Angeles,11.0701,1,5,352,Bachelors,Bachelors,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Computer Science.,True
110662,University of California-Los Angeles,11.0701,1,7,117,Masters,Graduate,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Computer Science.,True
110662,University of California-Los Angeles,11.0701,1,8,1,,,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Computer Science.,True
110662,University of California-Los Angeles,11.0701,1,17,44,Doctoral (Research/Scholarship),Graduate,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Computer Science.,True
110662,University of California-Los Angeles,13.0101,1,7,189,Masters,Graduate,13,EDUCATION.,"Education, General.",True
110662,University of California-Los Angeles,13.0101,1,17,35,Doctoral (Research/Scholarship),Graduate,13,EDUCATION.,"Education, General.",True
110662,University of California-Los Angeles,13.0401,1,17,22,Doctoral (Research/Scholarship),Graduate,13,EDUCATION.,"Educational Leadership and Administration, General.",True
110662,University of California-Los Angeles,13.0901,1,5,90,Bachelors,Bachelors,13,EDUCATION.,Social and Philosophical Foundations of Education.,True
110662,University of California-Los Angeles,13.1001,1,17,3,Doctoral (Research/Scholarship),Graduate,13,EDUCATION.,"Special Education and Teaching, General.",True
110662,University of California-Los Angeles,13.1306,1,7,3,Masters,Graduate,13,EDUCATION.,Foreign Language Teacher  Education.,True
110662,University of California-Los Angeles,13.1312,1,5,12,Bachelors,Bachelors,13,EDUCATION.,Music Teacher Education.,True
110662,University of California-Los Angeles,13.1401,1,8,0,,,13,EDUCATION.,Teaching English as a Second or Foreign Language/ESL Language Instructor.,True
110662,University of California-Los Angeles,14.0101,1,7,194,Masters,Graduate,14,ENGINEERING.,"Engineering, General.",True
110662,University of California-Los Angeles,14.0201,1,5,61,Bachelors,Bachelors,14,ENGINEERING.,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",True
110662,University of California-Los Angeles,14.0201,1,7,30,Masters,Graduate,14,ENGINEERING.,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",True
110662,University of California-Los Angeles,14.0201,1,17,6,Doctoral (Research/Scholarship),Graduate,14,ENGINEERING.,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General.",True
110662,University of California-Los Angeles,14.0301,1,5,0,Bachelors,Bachelors,14,ENGINEERING.,Agricultural Engineering.,True
110662,University of California-Los Angeles,14.0501,1,5,68,Bachelors,Bachelors,14,ENGINEERING.,Bioengineering and Biomedical Engineering.,True
110662,University of California-Los Angeles,14.0501,1,7,34,Masters,Graduate,14,ENGINEERING.,Bioengineering and Biomedical Engineering.,True
110662,University of California-Los Angeles,14.0501,1,17,22,Doctoral (Research/Scholarship),Graduate,14,ENGINEERING.,Bioengineering and Biomedical Engineering.,True
110662,University of California-Los Angeles,14.0701,1,5,67,Bachelors,Bachelors,14,ENGINEERING.,Chemical Engineering.,True
110662,University of California-Los Angeles,14.0701,1,7,16,Masters,Graduate,14,ENGINEERING.,Chemical Engineering.,True
110662,University of California-Los Angeles,14.0701,1,17,16,Doctoral (Research/Scholarship),Graduate,14,ENGINEERING.,Chemical Engineering.,True
110662,University of California-Los Angeles,14.0801,1,5,90,Bachelors,Bachelors,14,ENGINEERING.,"Civil Engineering, General.",True
110662,University of California-Los Angeles,14.0801,1,7,70,Masters,Graduate,14,ENGINEERING.,"Civil Engineering, General.",True
110662,University of California-Los Angeles,14.0801,1,8,0,,,14,ENGINEERING.,"Civil Engineering, General.",True
110662,University of California-Los Angeles,14.0801,1,17,19,Doctoral (Research/Scholarship),Graduate,14,ENGINEERING.,"Civil Engineering, General.",True
110662,University of California-Los Angeles,14.0803,1,7,1,Masters,Graduate,14,ENGINEERING.,Structural Engineering.,True
110662,University of California-Los Angeles,14.0901,1,5,106,Bachelors,Bachelors,14,ENGINEERING.,"Computer Engineering, General.",True
110662,University of California-Los Angeles,14.0999,1,7,1,Masters,Graduate,14,ENGINEERING.,"Computer Engineering, Other.",True
110662,University of California-Los Angeles,14.1001,1,5,146,Bachelors,Bachelors,14,ENGINEERING.,Electrical and Electronics Engineering.,True
110662,University of California-Los Angeles,14.1001,1,7,215,Masters,Graduate,14,ENGINEERING.,Electrical and Electronics Engineering.,True
110662,University of California-Los Angeles,14.1001,1,8,1,,,14,ENGINEERING.,Electrical and Electronics Engineering.,True
110662,University of California-Los Angeles,14.1001,1,17,44,Doctoral (Research/Scholarship),Graduate,14,ENGINEERING.,Electrical and Electronics Engineering.,True
110662,University of California-Los Angeles,14.1099,1,7,4,Masters,Graduate,14,ENGINEERING.,"Electrical, Electronics, and Communications Engineering, Other.",True
110662,University of California-Los Angeles,14.1801,1,5,28,Bachelors,Bachelors,14,ENGINEERING.,Materials Engineering.,True
110662,University of California-Los Angeles,14.1801,1,7,37,Masters,Graduate,14,ENGINEERING.,Materials Engineering.,True
110662,University of California-Los Angeles,14.1801,1,8,0,,,14,ENGINEERING.,Materials Engineering.,True
110662,University of California-Los Angeles,14.1801,1,17,23,Doctoral (Research/Scholarship),Graduate,14,ENGINEERING.,Materials Engineering.,True
110662,University of California-Los Angeles,14.1901,1,5,186,Bachelors,Bachelors,14,ENGINEERING.,Mechanical Engineering.,True
110662,University of California-Los Angeles,14.1901,1,7,106,Masters,Graduate,14,ENGINEERING.,Mechanical Engineering.,True
110662,University of California-Los Angeles,14.1901,1,17,30,Doctoral (Research/Scholarship),Graduate,14,ENGINEERING.,Mechanical Engineering.,True
110662,University of California-Los Angeles,14.3601,1,7,1,Masters,Graduate,14,ENGINEERING.,Manufacturing Engineering.,True
110662,University of California-Los Angeles,14.3901,1,5,1,Bachelors,Bachelors,14,ENGINEERING.,Geological/Geophysical Engineering.,True
110662,University of California-Los Angeles,14.9999,1,7,3,Masters,Graduate,14,ENGINEERING.,"Engineering, Other.",True
110662,University of California-Los Angeles,16.0102,1,5,13,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Linguistics.,True
110662,University of California-Los Angeles,16.0102,1,7,9,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Linguistics.,True
110662,University of California-Los Angeles,16.0102,1,17,8,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Linguistics.,True
110662,University of California-Los Angeles,16.0102,2,5,4,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Linguistics.,True
110662,University of California-Los Angeles,16.0104,1,5,7,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Comparative Literature.,True
110662,University of California-Los Angeles,16.0104,1,7,5,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Comparative Literature.,True
110662,University of California-Los Angeles,16.0104,1,8,0,,,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Comparative Literature.,True
110662,University of California-Los Angeles,16.0104,1,17,1,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Comparative Literature.,True
110662,University of California-Los Angeles,16.0104,2,5,1,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Comparative Literature.,True
110662,University of California-Los Angeles,16.0199,1,5,74,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Linguistic, Comparative, and Related Language Studies and Services, Other.",True
110662,University of California-Los Angeles,16.0199,1,7,0,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Linguistic, Comparative, and Related Language Studies and Services, Other.",True
110662,University of California-Los Angeles,16.0199,1,17,0,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Linguistic, Comparative, and Related Language Studies and Services, Other.",True
110662,University of California-Los Angeles,16.0199,2,5,3,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Linguistic, Comparative, and Related Language Studies and Services, Other.",True
110662,University of California-Los Angeles,16.0301,1,5,6,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Chinese Language and Literature.,True
110662,University of California-Los Angeles,16.0301,2,5,1,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Chinese Language and Literature.,True
110662,University of California-Los Angeles,16.0302,1,5,15,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Japanese Language and Literature.,True
110662,University of California-Los Angeles,16.0302,2,5,1,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Japanese Language and Literature.,True
110662,University of California-Los Angeles,16.0303,1,5,3,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Korean Language and Literature.,True
110662,University of California-Los Angeles,16.0303,2,5,3,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Korean Language and Literature.,True
110662,University of California-Los Angeles,16.0399,1,7,1,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","East Asian Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.0399,1,8,0,,,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","East Asian Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.0399,1,17,7,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","East Asian Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.04,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.04,1,7,2,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.04,1,17,0,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.0402,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Russian Language and Literature.,True
110662,University of California-Los Angeles,16.05,1,7,0,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.05,1,17,2,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.0501,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",German Language and Literature.,True
110662,University of California-Los Angeles,16.0502,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Scandinavian Languages, Literatures, and Linguistics.",True
110662,University of California-Los Angeles,16.0502,1,7,0,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Scandinavian Languages, Literatures, and Linguistics.",True
110662,University of California-Los Angeles,16.0599,1,5,2,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Germanic Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.0599,2,5,1,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Germanic Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.09,1,17,0,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.0901,1,5,9,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",French Language and Literature.,True
110662,University of California-Los Angeles,16.0901,1,7,0,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",French Language and Literature.,True
110662,University of California-Los Angeles,16.0901,1,8,0,,,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",French Language and Literature.,True
110662,University of California-Los Angeles,16.0901,1,17,2,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",French Language and Literature.,True
110662,University of California-Los Angeles,16.0901,2,5,3,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",French Language and Literature.,True
110662,University of California-Los Angeles,16.0902,1,5,1,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Italian Language and Literature.,True
110662,University of California-Los Angeles,16.0902,1,7,1,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Italian Language and Literature.,True
110662,University of California-Los Angeles,16.0902,1,8,0,,,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Italian Language and Literature.,True
110662,University of California-Los Angeles,16.0902,1,17,1,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Italian Language and Literature.,True
110662,University of California-Los Angeles,16.0904,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Portuguese Language and Literature.,True
110662,University of California-Los Angeles,16.0904,1,7,2,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Portuguese Language and Literature.,True
110662,University of California-Los Angeles,16.0905,1,5,19,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Spanish Language and Literature.,True
110662,University of California-Los Angeles,16.0905,1,7,1,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Spanish Language and Literature.,True
110662,University of California-Los Angeles,16.0905,2,5,15,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Spanish Language and Literature.,True
110662,University of California-Los Angeles,16.1101,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Arabic Language and Literature.,True
110662,University of California-Los Angeles,16.1101,2,5,2,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Arabic Language and Literature.,True
110662,University of California-Los Angeles,16.1102,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Hebrew Language and Literature.,True
110662,University of California-Los Angeles,16.1199,1,7,2,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.1199,1,8,0,,,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.1199,1,17,3,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.12,1,7,2,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.12,1,17,2,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Not a CIP6 program (aggregate / unclassified),False
110662,University of California-Los Angeles,16.1202,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Ancient/Classical Greek Language and Literature.,True
110662,University of California-Los Angeles,16.1202,1,7,0,Masters,Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Ancient/Classical Greek Language and Literature.,True
110662,University of California-Los Angeles,16.1203,1,5,0,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",Latin Language and Literature.,True
110662,University of California-Los Angeles,16.1299,1,5,1,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Classics and Classical Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.9999,1,5,8,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Foreign Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.9999,1,8,0,,,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Foreign Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.9999,1,17,6,Doctoral (Research/Scholarship),Graduate,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Foreign Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,16.9999,2,5,2,Bachelors,Bachelors,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.","Foreign Languages, Literatures, and Linguistics, Other.",True
110662,University of California-Los Angeles,22.0101,1,18,372,,,22,LEGAL PROFESSIONS AND STUDIES.,Law.,True
110662,University of California-Los Angeles,22.0201,1,7,225,Masters,Graduate,22,LEGAL PROFESSIONS AND STUDIES.,"Advanced Legal Research/Studies, General.",True
110662,University of California-Los Angeles,22.0202,1,7,0,Masters,Graduate,22,LEGAL PROFESSIONS AND STUDIES.,Programs for Foreign Lawyers.,True
